ts_unix	user_id	side	proc_state	frame_id	rep_id	rms	mdf	sampen	msesen	iemg	rms_norm	dmdf	dsampen	dmsesen	diemg	FI	FI_ema	CV_norm	FI_hybrid	FIh_ema
1760781953.98	user01	R	RUN	17607819539	17	205.16	114.18	2.08	1.5	172.82	0.97	-0.28	0.06	-0.15	-0.0	-0.1	-0.08	0.73	0.07	0.05
1760781955.78	user01	R	RUN	17607819557	17	240.3	140.65	1.57	1.43	186.14	1.14	-0.11	-0.2	-0.19	0.08	-0.17	-0.11	0.73	0.01	0.04
1760781957.48	user01	R	RUN	17607819574	17	217.04	139.9	2.09	1.41	182.92	1.03	-0.12	0.06	-0.2	0.06	-0.08	-0.1	0.73	0.08	0.05
1760781959.19	user01	R	RUN	17607819591	17	234.55	96.64	1.91	1.25	194.87	1.11	-0.39	-0.03	-0.29	0.13	-0.22	-0.14	0.73	-0.03	0.03
1760781960.99	user01	R	RUN	17607819609	17	234.99	128.69	2.28	1.23	187.21	1.11	-0.19	0.16	-0.3	0.08	-0.11	-0.13	0.73	0.05	0.04
1760781962.8	user01	R	RUN	17607819627	17	205.78	147.66	1.69	1.32	170.39	0.97	-0.07	-0.14	-0.25	-0.01	-0.14	-0.13	0.73	0.03	0.03
1760781964.6	user01	R	RUN	17607819645	18	261.64	98.6	1.74	1.5	203.78	1.24	-0.38	-0.11	-0.15	0.18	-0.2	-0.15	0.49	-0.07	0.0
1760781966.3	user01	R	RUN	17607819663	18	218.77	84.18	1.78	0.98	178.18	1.04	-0.47	-0.09	-0.44	0.03	-0.3	-0.2	0.49	-0.14	-0.04
1760781968.1	user01	R	RUN	17607819681	18	234.46	115.42	2.67	1.5	181.89	1.11	-0.27	0.36	-0.15	0.05	-0.02	-0.15	0.49	0.08	-0.0
1760781969.9	user01	R	RUN	17607819699	19	259.82	93.43	1.83	1.87	201.31	1.23	-0.41	-0.07	0.07	0.16	-0.12	-0.14	0.18	-0.06	-0.02
1760781971.6	user01	R	RUN	17607819716	19	246.77	133.06	1.88	1.55	190.87	1.17	-0.16	-0.04	-0.12	0.1	-0.11	-0.13	0.18	-0.05	-0.03
